instruct,input,output
อธิบายมาตรา 12 วรรค 2,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 12 วรรค 2 ถ้าการกระทำความผิดตามมาตรา 9 หรือมาตรา 10 เป็นการกระทำต่อข้อมูลคอมพิวเตอร์หรือระบบคอมพิวเตอร์ตามวรรคหนึ่ง ต้องระวางโทษจำคุกตั้งเเต่ 3 - 15 ปี หรือปรับตั้งเเต่ 60,000 ถึง 300,000บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 12 วรรค 3,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 12 วรรค 3 ถ้าการกระทำความผิดตามวรรคหนึ่งหรือวรรคสามโดยมิได้มีเจตนาฆ่า แต่เป็นเหตุให้บุคคลอื่นถึงแก่ความตาย ต้องระวางโทษจำคุกตั้งเเต่ 5 - 20 ปี หรือปรับตั้งเเต่ 100,000 ถึง 400,000บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 12/1,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 12/1 ถ้าการกระทำความผิดตามมาตรา 9 หรือมาตรา 10 เป็นเหตุให้เกิดอันตรายแก่บุคคลอื่นหรือทรัพย์สินของผู้อื่น ต้องระวางโทษจำคุกไม่เกิน 10 หรือปรับไม่เกิน 200,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 12/1 วรรค 1,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 12/1  วรรค 2  ถ้าการกระทำความผิดตามมาตรา 9 หรือมาตรา 10 โดยมิได้มีเจตนาฆ่า แต่เป็นเหตุให้บุคคลอื่นถึงแก่ความตาย ต้องระวางโทษจำคุกตั้งเเต่ 5 - 20 ปี หรือปรับตั้งเเต่ 100,000 ถึง 400,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 13 ,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 13 ผู้ใดจำหน่ายหรือเผยแพร่ชุดคำสั่งที่จัดทำขึ้นโดยเฉพาะเพื่อนำไปใช้เป็นเครื่องมือ ในการกระทำความผิดตามมาตรา 5 มาตรา 6 มาตรา 7 มาตรา 8 มาตรา 9 มาตรา 10 หรือ มาตรา 11 ต้องระวางโทษจำคุกไม่เกิน 5 ปี หรือปรับ 20,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 13 วรรค 1,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 13 วรรค 2 ผู้ใดจำหน่ายหรือเผยแพร่ชุดคำสั่งที่จัดทำขึ้นโดยเฉพาะเพื่อนำไปใช้เป็นเครื่องมือในการกระทำความผิดตามมาตรา 12 วรรคหนึ่งหรือวรรคสาม ต้องระวางโทษจำคุกไม่เกิน 2 ปี หรือปรับไม่เกิน 40,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 14 อนุมาตรา 1,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 14 อนุมาตรา 1 นำเข้าสู่ระบบคอมพิวเตอร์ซึ่งข้อมูลคอมพิวเตอร์ที่บิดเบือน หรือปลอมไม่ว่าทั้งหมดหรือบางส่วน หรือข้อมูลคอมพิวเตอร์อันเป็นเท็จ โดยประการที่น่าจะเกิดความเสียหาย แก่ประชาชน อันมิใช่การกระทำความผิดฐานหมิ่นประมาทตามประมวลกฎหมายอาญา ต้องระวางโทษจำคุกไม่เกิน 5 ปี หรือปรับไม่เกิน 100,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 14 อนุมาตรา 2,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 14 อนุมาตรา 2 นำเข้าสู่ระบบคอมพิวเตอร์ซึ่งข้อมูลคอมพิวเตอร์อันเป็นเท็จ โดยประการที่น่าจะเกิด ความเสียหายต่อการรักษาความมั่นคงปลอดภัยของประเทศ ความปลอดภัยสาธารณะ ความมั่นคง ในทางเศรษฐกิจของประเทศ หรือโครงสร้างพื้นฐานอันเป็นประโยชน์สาธารณะของประเทศ หรือก่อให้เกิด ความตื่นตระหนกแก่ประชาชน ต้องระวางโทษจำคุกไม่เกิน 5 ปี หรือปรับไม่เกิน 100,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 14 อนุมาตรา 3,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 14 อนุมาตรา 3 นำเข้าสู่ระบบคอมพิวเตอร์ซึ่งข้อมูลคอมพิวเตอร์ใด ๆ อันเป็นความผิดเกี่ยวกับความมั่นคง แห่งราชอาณาจักรหรือความผิดเกี่ยวกับการก่อการร้ายตามประมวลกฎหมายอาญา ต้องระวางโทษจำคุกไม่เกิน 5 ปี หรือปรับไม่เกิน 100,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 14 อนุมาตรา 4,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 14 อนุมาตรา 4 นำเข้าสู่ระบบคอมพิวเตอร์ซึ่งข้อมูลคอมพิวเตอร์ใด ๆ ที่มีลักษณะอันลามกและข้อมูล คอมพิวเตอร์นั้นประชาชนทั่วไปอาจเข้าถึงได้ ต้องระวางโทษจำคุกไม่เกิน 5 ปี หรือปรับไม่เกิน 100,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 14 อนุมาตรา 5,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 14 อนุมาตรา 5 ผู้ใดเผยแพร่หรือส่งต่อซึ่งข้อมูลคอมพิวเตอร์โดยรู้อยู่แล้วว่าเป็นข้อมูลคอมพิวเตอร์ ตาม (1) (2) (3) หรือ (4) ต้องระวางโทษจำคุกไม่เกิน 5 ปี หรือปรับไม่เกิน 100,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 15,,****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 15 ผู้ให้บริการผู้ใดให้ความร่วมมือ ยินยอม หรือรู้เห็นเป็นใจให้มีการกระทำความผิด ตามมาตรา 14 ในระบบคอมพิวเตอร์ที่อยู่ในความควบคุมของตน โดยจะมีโทษตามเช่นเดียวกับผู้กระทำความผิดตาม มาตรา 14
อธิบายมาตรา 16 ,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 16 ผู้ใดนำเข้าสู่ระบบคอมพิวเตอร์ที่ประชาชนทั่วไปอาจเข้าถึงได้ซึ่งข้อมูลคอมพิวเตอร์ ที่ปรากฏเป็นภาพของผู้อื่น และภาพนั้นเป็นภาพที่เกิดจากการสร้างขึ้น ตัดต่อ เติม หรือดัดแปลง ด้วยวิธีการทางอิเล็กทรอนิกส์หรือวิธีการอื่นใด โดยประการที่น่าจะทำให้ผู้อื่นนั้นเสียชื่อเสียง ถูกดูหมิ่น ถูกเกลียดชัง หรือได้รับความอับอาย ต้องระวางโทษจำคุกไม่เกิน 3 ปี หรือปรับไม่เกิน 200,000 บาท หรือทั้งจำทั้งปรับ"
อธิบายมาตรา 16 วรรค 1,,"****ถือว่ามีความผิด พ.ร.บ. คอมพิวเตอร์ ตาม มาตรา 16 วรรค 1 ถ้าการกระทำตามวรรคหนึ่งเป็นการกระทำต่อภาพของผู้ตาย และการกระทำนั้นน่าจะทำให้บิดา มารดา คู่สมรส หรือบุตรของผู้ตายเสียชื่อเสียง ถูกดูหมิ่น หรือถูกเกลียดชัง หรือได้รับความอับอาย ต้องระวางโทษจำคุกไม่เกิน 3 ปี หรือปรับไม่เกิน 200,000 บาท หรือทั้งจำทั้งปรับ"
